名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page,城市
东大塘,http://travel.qunar.com/p-oi3864501-dongdatang,"

地址:
新疆维吾尔自治区塔城地区沙湾县


电话:
0901-31826

",东大塘风景区 是国家A级旅游景区，位于天山深处，依连哈比尔尕山北麓，东临设合资，据沙湾县城80余公里。奇特的天山草原风光，壮观的石山大佛，纯朴的哈萨克牧民，古老的游牧生活，浓郁的草原文化气息和源远流长的佛教文化是这里的主要特色。　　东大塘历史上就有佛教文化较为发达的记载，近年来景区借助这一优势，积极开展佛教文化旅游，在悬崖上人工雕刻了一座大佛，成为吸引游客的一个重要人文景观。,8：00-18：00,,5.0,,,15元,,1,塔城
漠河极地体验馆 (中国科技馆分馆),http://travel.qunar.com/p-oi38952594-mohejiditiyanguan_,,漠河极地体验馆，整馆建筑面积，约为3100平方米，主展厅以“感受极地特色，培养极地兴趣”为主题，并将科技内容和极地特色相结合，设置了 极地自然、极地探索、冰雪之恋三个展区、共33件展品。极地馆的吉祥物--北极熊憨憨、这个展项运用了初级的AI智能处理，可以跟大家进行简单的对话，展项模拟极光：漠河是全国境内可以看到北极光的城市，尤其在北极村更是观测位置。通过这个展项，大家可以更清楚的了解他的生成原因，漠河观测极光的时间窗口为夏至前后—万里无云观测条件好和冬至前...漠河极地体验馆，整馆建筑面积，约为3100平方米，主展厅以“感受极地特色，培养极地兴趣”为主题，并将科技内容和极地特色相结合，设置了 极地自然、极地探索、冰雪之恋三个展区、共33件展品。极地馆的吉祥物--北极熊憨憨、这个展项运用了初级的AI智能处理，可以跟大家进行简单的对话，展项模拟极光：漠河是全国境内可以看到北极光的城市，尤其在北极村更是观测位置。通过这个展项，大家可以更清楚的了解他的生成原因，漠河观测极光的时间窗口为夏至前后—万里无云观测条件好和冬至前后夜晚较长，但是据漠河气象部门近50年的监测，每年可以看到极光的次数平均在5次左右。展项极昼与极夜的形成：形成的三大要素是地球绕太阳的公转轨道、地球自转及地球倾斜角，一年中有6个月时间两极之中总有一极朝着太阳，全是白天；另一个极背向太阳，全是黑夜。南、北极这种神奇的自然现象是其他大洲所没有的。大家可以通过触摸屏在仔细了解它的科学原理。展项绚丽极光影院：感受极光的魅力，影片是采用奇幻穿越的手法演示极光，让大家能身临其境的观看极光出现时瑰丽壮观的景象，了解极光从出现到消失的全过程代表性展品：小球大世界，球体采用碳纤维材料，直径是174厘米，运用美国大气海洋管理局NOAA精心打造的素材资料，向我们投射展示的是整个星球大世界的缩影。它包含了天文、地理、大气、海洋、人文、全球卫星云图等各种影像。展项：自星星的你，陨石也被称之为陨星，是从行星际空间穿过地球大气层而陨落到地球表面上的天然固态物体。我们极地馆收藏了两件铁陨石，大家可以将手放在陨石上，或许它跟澳大利亚艾尔湖发现的陨石一样比地球还要古老。展项圆顶冰屋模型：是北极地区原住民因纽特人的独特建筑，雪屋是他们外出打猎、或者放牧驯鹿时临时搭建的住所，大家稍后可以打雪屋打乱重新建造试试。展品听位爷爷讲极地探险故事：位梦华爷爷是第一个进入南极中心地区，也就是南纬80度以南的中国人；他曾9次考察北极，在北极居住的时间累计起来有三年多，作为中国远征北极点科学考察的总领队，1995年5月6日把五星红旗插上了北极点，他是发表和出版有关南极、北极的科普文章和科学专著较多的中国人，中学语文课本里的一篇《旅鼠之谜》就是他写的；他也是在国内和美国，以南极、北极为题材演说较多的中国人。这个展品叫做-观察水结冰，在自然界中，水在-0℃以下时、由液态变为固态，称为结冰。水结冰是一种结晶现象，是由水分子附着在细小的晶核上，不断疑结长大形成的晶体。在不同的温度下，形成的冰晶各不相同。速冻时，迅速生成许多晶核，容易形成许多细小的冰晶。而缓慢冰冻时，生成的晶核较少。大家可以利用放大镜观察一下水结冰的过程。展项叫做不同的隔热材料：材料的保温隔热性能与它的导热性密切相关。导热性能代表物体传递热量的能力，导热性能越好，传递热量的能力越强，保温隔热效果就越差人们通常把导热性能好的材料作为导热材料，把导热性能差的材料作为保温材料，利用保温材料制作出各种衣物、手套等物品来抵御寒冷。展项南极生物链：大家都知道南极大陆是较冷的大陆，迄今为止，世界上记录到的较低温度-93.2℃就是在那里观测到的。虽然极冷，但是南极海域的生物繁茂，截止2009年，被记录到的南极动物就达150种之多，比如说帝企鹅、海豹、南极磷虾等等，大家通过四方的触摸面板，可以了解南极的生态系统。展项生活在北极的动物：这个展项向我们介绍了8种具有代表性的北极动物，比如在海洋公园常见的北极熊、白鲸，还有北极狼、北极地松鼠等等，可以用过插卡答题的方式，了解他们在寒冷冬天是怎样过冬的。这个展项是以中国南极科考站实际地点为原型摆放的，自1985年我国设立第一个常年越冬站—长城站以来，到目前为止我国共建有5座科考站，其中罗斯海站于2018年奠基预计于2022年完工。展项冰雪世界有绿洲：这个展项收录了16种南北极植被的实地照片，大家稍后可以了解一下。里面有一种植物叫做越橘，漠河本地人称它为红豆，这样说可能大家还不是很明白，他的亲戚叫做蔓越莓，大家一定听过，越橘就是生长在中国的蔓越莓，他们两者的营养成分都相差不多。,,,5.0,,,,,3,大兴安岭
华严街,http://travel.qunar.com/p-oi37806292-huayanjie,,,,,5.0,,,具体收费情况以现场公示为主,,1,大同
净土寺Jingtu Temple,http://travel.qunar.com/p-oi722591-jingtusi,"

地址:
大庆市杜尔伯特蒙古族自治县泰康镇西部

",净土寺位于大庆市郊的杜蒙自治县泰康镇，是当地知名的佛教寺院，也是黑龙江西部较大的宗教建筑。净土寺很年轻，建于2003年，但它的建筑特色依然是按照传统古朴的寺院风格所设，15米之高的山门展现着神圣庄严的灵韵。每当清晨，钟鸣悠远，黄昏渐进，鼓声浑厚，净土寺一直迎来不少虔诚之徒的参拜。大雄宝殿恢宏雄伟，精美琉璃瓦铺遍房檐，三如来佛落座于内，神态端庄，目视众生。在净土寺，相信你会寻得一份清净安宁的心境吧。,全年 全天开放,https://img1.qunarzz.com/travel/poi/1803/84/6fcbd42f04e39f37.jpg_480x360x95_1c058beb.jpg,5.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,1,大庆
奇峰梨花村Qifeng Pear Blossom Village,http://travel.qunar.com/p-oi35216631-qifenglihuacun,, 奇峰梨花村位于云南鹤庆，每年初春，千树万树的梨花开满了奇峰的乡村沃野、田间地头，十分壮观。,,,5.0,,,具体收费情况以现场公示为主,,3,大理
神龙仙岛海上主题公园Shenlong Xiandao Sea Theme Park,http://travel.qunar.com/p-oi7468725-shenlongxiandaohaishang,"

地址:
大连市旅顺口区双岛湾街道双岛湾路1340号


电话:
0411-83713349

",大连神龙仙岛海上主题公园是一个畅游世界名岛，享受快乐假期-神龙仙岛海上主题公园！ 这里有变幻多彩的海水，3亿年的碳酸盐石、闻名世界的蝮蛇王国——蛇岛，充满灵气天然海上睡佛——鸟岛。12米高的海神娘娘竖立海边，守护者往来的渔船满载而归；山神龙王深居山林，保佑着一方平安富饶！“海市蜃楼”时常可见，“四海龙王”常常相会。这里充满了神气和灵性，这就是——神龙仙岛海上主题公园，是大连第一条真正的吃海、玩海、看海、游海的旅游线路。    景区占地面积约12万平方米，秀丽的月牙湾海岸线长达3000米。这里也是大型的野生海豚保护区。自修建以来，每年接待本地游客约10万人次，从2010年至今，由大连神龙岛海上娱乐有限公司投资五千余万元重新改造，在原有项目基础上增添了狩猎场、龙长城、森林动物园、亚洲百米森林水上滑道、马术表演场、鳄鱼表演园、蒙古风情篝火晚会广场、跑马场、碰碰车、疯狂卡丁车、儿童乐园、海水浴场、赶海区、垂钓区、自助烧烤区、精品大型商场、餐厅、360°海上全景酒店、游船码头等项目，并开通了数十年来一直未能实现的登蛇岛、观鸟岛的海上观光航线，同时增添了精彩绝伦的马术表演，罕见的袖珍人摔跤表演，异国风情的红艺人表演和惊险刺激的驯鳄表演。,全年 10:00-22:00,https://img1.qunarzz.com/travel/poi/1408/25/8db75a1832152456ffffffffc8d65eac.jpg_480x360x95_a64785f7.jpg,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,6,大连
陀罗尼经幢,http://travel.qunar.com/p-oi719472-tuoluonijingchuang,"

地址:
甘肃省天水市秦州区南郭路39号南郭寺内


电话:
0938-8623147

",南郭寺内碑碣众多，目前已发现有14幢之多，其中以佛鼎尊胜陀罗尼经幢时间最早；3块陀罗尼经幢临时存放在佛殿内，长约两米左右的汉白玉材质六棱经幢上，昔日雕刻的文字已经十分模糊，无法辨认。其中的一块，有明显的裂纹和断裂后的痕迹。保存相对完整的一块上可以看出，其一头有明显的榫卯式结构式的突出四棱体、一头有对应的四方形坑，显然这些分散而独立的单块经幢，有组合和套装的功能。已故学者冯国瑞先生，在《绛花楼诗集》对此研究后记有：“南郭寺经幢系前蜀王衍乾德三年(公元92...南郭寺内碑碣众多，目前已发现有14幢之多，其中以佛鼎尊胜陀罗尼经幢时间最早；3块陀罗尼经幢临时存放在佛殿内，长约两米左右的汉白玉材质六棱经幢上，昔日雕刻的文字已经十分模糊，无法辨认。其中的一块，有明显的裂纹和断裂后的痕迹。保存相对完整的一块上可以看出，其一头有明显的榫卯式结构式的突出四棱体、一头有对应的四方形坑，显然这些分散而独立的单块经幢，有组合和套装的功能。已故学者冯国瑞先生，在《绛花楼诗集》对此研究后记有：“南郭寺经幢系前蜀王衍乾德三年(公元921年)刻制。”其制作时间距今已有1091年。,3月1日-10月31日8:00-18:00，11月1日-次年2月28日8:30-17:30。,https://img1.qunarzz.com/travel/poi/201408/11/1c42466be446e910c8d65eac.jpg_480x360x95_ab03ca93.jpg,5.0,建议游览时间：0.5小时,,南郭寺门票成人票 20元/人优惠票 10元/人60岁以上持身份证的老年人、未成年人及学生实行半价10元免票对持甘肃省老年优待证的老人、现役军人、残疾人、儿童（1.4米以下）免票南郭寺“四月八”门票2元/人；导游服务费20人以内每次40元，20人以上每增加1人加收1.5元。,,1,天水
卢家峪五盆沟Wupeng Canyon,http://travel.qunar.com/p-oi23344137-lujiayuwupengou,,五盆沟地处蓟州区边缘部，与北京市平谷区交界，这里山水相映、小路盘旋，漫山的花卉尽展姿容，一派原始美景足以迷醉世人。,,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/e3cd8eb87abcb85fe8fd9f1ad851ba7a.jpg_480x360x95_ace58192.jpg,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,1,天津
陆羽纪念馆Lu Yu Memorial Hall,http://travel.qunar.com/p-oi24412243-luyujinianguan,"

地址:
文学泉道与西寺路交叉口西北100米

",,全年 7:00-19:00,,5.0,建议游览时间：2小时,,,,1,天门
九龙国际文化生态旅游园区Jiulong International Culture and Ecology Tourism Park Area,http://travel.qunar.com/p-oi711908-jiulongguojiwenhuasheng,"

地址:
太原市小店区民航路五龙沟黄河文化产业影视基地内，飞机场以东500米


电话:
0351-3094888,0351-3194888

",九龙国际文化生态旅游区青山环保、林木茂盛、空气清新、景色怡人，是集旅游，观赏，运动，娱乐，体育、度假、拓展为一体的山西省内比较大的旅游度假山庄。这里拥有数栋欧式建筑、模拟战场、越野车俱乐部、钓鱼捣、滑雪场、网球网及各种游乐服务设施。充分利用自然沟壑峭壁，修就栈道、战壕、防御工事。景区内的各种训练场地吸引着无数年轻人前往。,全年 8:00-18:00,https://img1.qunarzz.com/travel/poi/1508/a5/b6cb04defb081d.jpg_480x360x95_4f4fe22f.jpg,5.0,建议游览时间：3天 - 6天,,具体收费情况以现场公示为主,,4,太原
新梁溪人家商业文化街XinLiangXi RenJia ShangYe WenHua Jie,http://travel.qunar.com/p-oi24436410-xinliangxirenjiashang,,,,,5.0,,,,,2,太湖
威海画院Weihai Huayuan,http://travel.qunar.com/p-oi19621406-weihaihuayuan,"

地址:
环翠区文化中路


电话:
+86 631 581 9059

",,全年 全天开放,,5.0,,,具体收费情况以现场公示为主,,2,威海
娄底大江口景区Loudi Dajiangkou Scenic Resort,http://travel.qunar.com/p-oi710014-loudidajiangkoujingqu,"

地址:
湄江

",,全年 8:00-18:30,https://img1.qunarzz.com/travel/d8/1609/42/3fa189518d833cb5.jpg_480x360x95_5f0e1a53.jpg,5.0,,,具体收费情况以现场公示为主,,1,娄底
怡荷园,http://travel.qunar.com/p-oi38676828-yiheyuan,,"怡荷园现代农业产业园隶属于湖北楚水荷乡生态农业有限公司，坐落于中国孝乡--孝感市孝南区朋兴乡与丹阳古镇毗邻，有着自然的乡村景观。是一个集现代农业、生态旅游观光和康养为一体的大型综合农业产业园。该项目总投资4.5亿元，初步完成了现代农业的产业布局，形成了3大核心产业。蛙稻共生产业。莲荷产业。特色水产基地。
 风和日丽的天气，您也可以乘湖中小火车轻歌曼舞，点放一盏盏荷花灯，许下一个美好的心愿。泛舟而行，彼岸驻足，美丽的荷花岛上您还可以在沙滩浴场享受阳光浴，也可以在绿色的大草坪上支起小帐篷，与心爱的人静静观星，感受荷塘叶色的美景。远离城市喧哗的你，在田园蛙声中进入梦香，在这里让身体与心灵同时休憩。  稻花香里说丰年，听取蛙声一片。景区利用自然农田100亩养殖黑斑蛙，并规划800亩粮田建设蛙稻共生基地，游客游览漫步田野中，稻花香里蛙声一片，好不热闹。打造现代农业观光特色，无公害化种植各类果树，满足游人季节性采摘尝鲜，满足孩子们体验种植的乐趣。园区还计划2022年建成，面积100亩，亲子体验观光采摘。体验农耕文化，促进亲子教育交流。园区种植有各类盆景和各类彩叶苗木，季节性花卉悄悄绽放，散发出醉人芳香。游人漫步，置身大自然生态景色之中，享受田园美景，呼吸天然氧吧，格外清新怡人，赏心悦目轻松快乐。  景区内还设有很多游玩项目：荷花观赏，无动力乐园，摸鱼钓虾，儿童游乐园，网红小火车，七彩滑道，休闲垂钓，自助烧烤，农家土灶，休闲风光民宿等。
",,,5.0,,,,,2,孝感
四礵列岛,http://travel.qunar.com/p-oi38803653-sishuangliedao,,四礵列岛由北礵、南礵、东礵、西礵等18个岛屿及17个礁石组成，岛上风景秀丽，各种各样的礁石，还有狮子峰、皇帝帽等自然景观，是一个看日出、赏日落的好地方。,,,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,1,宁德
四明山杖锡风景区Siming Mountain Zhangxi Scenic Area,http://travel.qunar.com/p-oi35216221-simingshanzhangxifeng,"

地址:
大乡段附近


电话:
0574-88288898

",四明山杖锡风景区占地面积广，山峦叠翠，花草树木葱郁，自然景色秀丽。这里也是国内较大的樱花苗木培植、观赏基地。景区分为樱花记忆园、品茗园、青春谷、休闲垂钓区等多个区域，是您休闲度假的好地方。,全年 08:00-16:30,,5.0,建议游览时间：12小时 - 3天,,具体收费情况以景区现场公示为主。,,7,宁波
二祖山,http://travel.qunar.com/p-oi39413141-erzushan,,,,,5.0,,,,,5,安庆
神河源风景区,http://travel.qunar.com/p-oi704114-shenheyuanfengjingqu,"

地址:
陕西省安康市

","这里融山、水、泉、洞于一体,集雄、奇、秀、阔、幽、险于一身，不到新疆可以看到天山风光,不到云贵可以看到千姿百态的溶洞石林,不到武当可以看到金顶雄姿,不到西双版纳可以看到原始森林,不到哈尔滨可以看到婀娜多姿的雪景,不出国门可以看到西欧的自然风光。",全天,https://img1.qunarzz.com/travel/d4/1508/b2/0303b64d3459fe.jpg_480x360x95_c7ef7c66.jpg,5.0,建议游览时间：4小时,春、秋。,"朝阳洞20元 
 巴山秋池20元 
 巴山神田草原20元。",,1,安康
安阳方特东方神画Anyang Oriental Heritage,http://travel.qunar.com/p-oi35214273-anyangfangtedongfangshen,,东方神画里面主要传扬中国传统文化，游玩项目和迪士尼大同小异，很适合带孩子去玩。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,8,安阳
铜鼓荡,http://travel.qunar.com/p-oi38841401-tonggudang,,,,,5.0,,,,,1,安顺
定安沿江公园Ding'anyanjiang Park,http://travel.qunar.com/p-oi35017330-dinganyanjianggongyuan,"

地址:
定安县文明路与沿江东路交叉口西北100米

",定安沿江公园内有三大分区，分别为活力广场区、文化休闲区和健身活动区，是休闲娱乐的好去处。,全年 全天开放,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,2,定安
首阳山,http://travel.qunar.com/p-oi714622-shouyangshan,"

地址:
甘肃省定西市渭源县莲峰镇

",首阳山位于渭源县东南34公里的莲峰乡享堂沟，海拔在2186-2509米之间，因其列群山之首，阳光先照而得名。首阳山因商未周初孤竹国（今河北庐龙县）君之二子伯夷、叔齐相让嗣君，相偕至周，后闻武王伐纣，叩马谏阴。因武王不听，遂愤而不食周粟，西行至首阳山，采薇而食，后饿死于首阳山而成为陇右名山。秦汉在此建县时就名首阳县了。渭源首阳山最早见于庄子所言伯夷、叔齐西至岐阳，见周武王伐殷曰：吾闻古之士，遭治世还避其任，遇乱世不为苟存，今天下暗，周德衰，其并乎周以涂吾身...首阳山位于渭源县东南34公里的莲峰乡享堂沟，海拔在2186-2509米之间，因其列群山之首，阳光先照而得名。首阳山因商未周初孤竹国（今河北庐龙县）君之二子伯夷、叔齐相让嗣君，相偕至周，后闻武王伐纣，叩马谏阴。因武王不听，遂愤而不食周粟，西行至首阳山，采薇而食，后饿死于首阳山而成为陇右名山。秦汉在此建县时就名首阳县了。渭源首阳山最早见于庄子所言伯夷、叔齐西至岐阳，见周武王伐殷曰：吾闻古之士，遭治世还避其任，遇乱世不为苟存，今天下暗，周德衰，其并乎周以涂吾身也，不若逊之，以洁吾行二子北至于首阳之山，遂饥饿而死。又东汉经文学家曹大家（即班昭）注《幽通赋》说：夷齐饿于首阳山在陇西首阳。渭源在秦末汉初建县，就名首阳县，归陇西郡管辖，县以山得名。直到西魏文帝大统十七年（公元551）始改名渭源县。据此看来，渭源首阳山得名最早，历史悠久，为夷齐隐居采蕨直至饿死的最确首阳山。首阳山西北侧有石门，因两座石崖东西对峙，间开一线，形似石门而得名。石门夜月为当地一景。两崖之间有一水库，容量500多万立方米，是一处理想的水上乐园。水库后面为长十五里的天井峡谷，这里座座陡峭的山崖相对挺立，四山合围，蓝天变成一条细线，人如处井底，其地势恰似一大锯解开的板缝，故此当地俗称解板沟。天井峡山奇水美，恰似仙境，有鬼斧神工的自然造型27处景点。沿十五里天井画廊，到处充满着奇、险、壮、绝、清、秀、幽、静、古、野之情趣。如从县城向南行直抵天井峡，约有20多公里路程。,09:00-17:00,https://img1.qunarzz.com/travel/d5/1510/98/3f55b9c8ca110f.jpg_480x360x95_82907aca.jpg,5.0,,,25元,,1,定西
竹海博物馆Shunan Zhuhai Museum,http://travel.qunar.com/p-oi7647724-zhuhaibowuguan,"

地址:
竹海镇宜宾蜀南竹海风景名胜区内


电话:
0831-4980121

","蜀南竹海位于四川南部的宜宾市境内，幅员面积120平方公里，核心景区45平方公里，共有八大主景区，两大序景区134处景点。由27条峻岭，500多座峰峦组成，景区内共有竹子400余种，7万余亩，楠竹枝叠根连，葱绿俊秀，浩瀚壮观.蜀南竹海是世界上集中面积大的天然竹林景区，独特的地理位置，造就了“云山竹海，天上人间”。是世界罕见、中国的集竹景、山水、湖泊、瀑布、古庙于一体，同时兼有历史悠久的人文景观的竹文化、竹生态休闲度假旅游目的地。蜀南竹海的植被覆盖率达92.4%，景区内绿...蜀南竹海位于四川南部的宜宾市境内，幅员面积120平方公里，核心景区45平方公里，共有八大主景区，两大序景区134处景点。由27条峻岭，500多座峰峦组成，景区内共有竹子400余种，7万余亩，楠竹枝叠根连，葱绿俊秀，浩瀚壮观.蜀南竹海是世界上集中面积大的天然竹林景区，独特的地理位置，造就了“云山竹海，天上人间”。是世界罕见、中国的集竹景、山水、湖泊、瀑布、古庙于一体，同时兼有历史悠久的人文景观的竹文化、竹生态休闲度假旅游目的地。蜀南竹海的植被覆盖率达92.4%，景区内绿色怡人、空气清新，是一座天然的绿色大氧吧。更是川南地区的影视基地,《卧虎藏龙》、《大人物》、《大酒商》、《风云2》、《爱到春潮滚滚来》、《勇士》、浙江卫视《24小时》真人秀栏目等诸多影视作品和综艺节目都将蜀南竹海作为了外景拍摄地点。",全年 09:00-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/000fdcebed4362da53027aab4d2fd390.jpg_480x360x95_aaa85844.jpg,5.0,建议游览时间：2小时 - 3小时,,100元,,1,宜宾
宜昌东山公园,http://travel.qunar.com/p-oi7587819-yichangdongshangongyuan,"

地址:
宜昌市城区东山之巅

",宜昌市东山公园，又名宜昌市革命烈士陵园，位于宜昌市城区东山之巅，海拔为127.8米，占地305亩，始建于1973年，1985年扩建。公园内青山碧水，林木葱茏，亭堂静落，碑塔耸峙。,全天,https://img1.qunarzz.com/travel/poi/1412/64/64b83a693fb124decdb.jpg_480x360x95_7cd3c063.jpg,5.0,建议游览时间：0.5小时,四季皆宜,免费,,5,宜昌
天柱峰,http://travel.qunar.com/p-oi7645583-tianzhufeng,"

地址:
宜春市铜鼓县赣西北九岭山脉西麓大镇境内

",铜鼓县天柱峰景区地处赣西北九岭山脉西麓大镇境内，是天柱峰国家森林公园的核心景区，绵延12公里的水上丹霞地貌，以“峰险、水秀、石异”特色而闻名。景区内标志性景观———天柱峰，有“修河第一峰”之美誉，是铜鼓县天柱峰国家森林公园的象征。自2009年初开始，铜鼓县把创建天柱峰AAA级景区作为全县重点工程之一，景区内硬件设施和软件管理都有了大的提高。该景区现已被正式授予国家AAA级旅游区称号。,7:00-17:00,https://img1.qunarzz.com/travel/d9/1506/47/9c1db57c6c4dbf.jpg_480x360x95_bb1589b7.jpg,5.0,,,"免费政策：
 儿童身高1.3米以下免费。",70周岁以上老年人凭身份证，军人、警察、记者、导游凭有效证件免大门票。,1,宜春
天池明珠Tianchi Pearl,http://travel.qunar.com/p-oi717356-tianchimingzhu,"

地址:
太白山

",,全天,https://img1.qunarzz.com/travel/poi/201407/09/685df42d3a2b408eddb12cfb.jpg_480x360x95_478b6d19.jpg,5.0,,四季皆宜，夏秋最佳。,无,游客登山游玩，需按照已开发的旅游登山路线行进，不可贸然离开主路线去探险。这样一是防止在山中迷路失踪；二是深山中的有不少野生动物，包括大型野兽，游客若擅自进入深山可能会遇到危险。,2,宝鸡
恩龙生态旅游,http://travel.qunar.com/p-oi707931-enlongshengtailu:you,"

地址:
安徽省宣城宁国市

",宁国市恩龙生态发展有限公司是一家集林木种苗生产、特色林果种植、生态旅游开发三大产业于一体的非公有制企业。公司创建于1997年，现总资产已逾亿元。由公司承建的恩龙生态农业科技示范园先后于2001-2002年连续两年被评为省级生态农业科技示范园，公司苗圃2002年度被评为“全国质量信得过苗圃”和“全国无检疫对象苗圃”，2003年度公司又被评为安徽省农业产业化龙头企业。公司经过几年的发展，注重科技领先，强化内部管理，兼顾企业长、中、短期效益齐头并进，现已初具规模，并逐渐...宁国市恩龙生态发展有限公司是一家集林木种苗生产、特色林果种植、生态旅游开发三大产业于一体的非公有制企业。公司创建于1997年，现总资产已逾亿元。由公司承建的恩龙生态农业科技示范园先后于2001-2002年连续两年被评为省级生态农业科技示范园，公司苗圃2002年度被评为“全国质量信得过苗圃”和“全国无检疫对象苗圃”，2003年度公司又被评为安徽省农业产业化龙头企业。公司经过几年的发展，注重科技领先，强化内部管理，兼顾企业长、中、短期效益齐头并进，现已初具规模，并逐渐形成企业协调、健康、稳步向前发展的三大支柱产业：林木种苗产业、特色林果产业、生态旅游产业。,8：00—18：30,https://img1.qunarzz.com/travel/d7/1612/d1/141e6af01a6c06b5.jpg_480x360x95_e72b0460.jpg,5.0,,,,,3,宣城
皇藏峪,http://travel.qunar.com/p-oi705185-huangzangyu,"

地址:
安徽省宿州市萧县龙岗山


电话:
0557-5960266

",皇藏峪位于萧县东南20余公里的龙岗山中，为山东古老丘陵的延伸部分，山脉大致南北走向，最高峰海拔374米，一般为100―300米，相对高度20―30米，山顶平缓，山坡较陡。， 黄藏峪原名黄桑峪，因峪内长满黄桑树而得名。汉高祖刘帮称帝前曾因避秦兵追捕而藏身于此，故改名皇藏峪。《汉书地理志》记载：“汉高祖微时常隐芒、砀山间，即此山有皇藏峪，汉高祖避难处”。 皇藏峪为陶墟山系南部的剥蚀低山丘陵，山岩为石灰岩体，有许多天然洞穴及井泉、山石景观）四周峰峦层叠，涧水淙淙。峪中...皇藏峪位于萧县东南20余公里的龙岗山中，为山东古老丘陵的延伸部分，山脉大致南北走向，最高峰海拔374米，一般为100―300米，相对高度20―30米，山顶平缓，山坡较陡。， 黄藏峪原名黄桑峪，因峪内长满黄桑树而得名。汉高祖刘帮称帝前曾因避秦兵追捕而藏身于此，故改名皇藏峪。《汉书地理志》记载：“汉高祖微时常隐芒、砀山间，即此山有皇藏峪，汉高祖避难处”。 皇藏峪为陶墟山系南部的剥蚀低山丘陵，山岩为石灰岩体，有许多天然洞穴及井泉、山石景观）四周峰峦层叠，涧水淙淙。峪中天然森林三千多亩，有146种树木和六百多种草药。在平畴千里的淮北大地，有此高峰幽谷，实为难得，乃是徐淮地区游人间往之地。,8:00-17:00,,5.0,,,20元,,1,宿州
白鹭保护区,http://travel.qunar.com/p-oi701944-bailubaohuqu,,洪泽农场鸟类自然保护区处于泗洪县东南，处于徐洪河和安东河下游，总面积5.22平方公里，核心区58.4公顷。2001年经江苏省人民政府批准列入洪泽湖湿地升级自然保护区。鸟类保护区季风显著，气候温和、光照充足。湿地常年水深0.6米，水体清澈透明。物种丰富多样，是候鸟、旅鸟适宜栖息的地区。区内有植物110余种、鸟类15目44科194种，占江苏省鸟类资源的一半以上。其中43种为留鸟、100种为候鸟(41种夏候鸟、59种冬候鸟)、51种为旅鸟。鸟类以鹭鸟为主，尤以牛背鹭、池鹭、苍鹭、中白鹭等居...洪泽农场鸟类自然保护区处于泗洪县东南，处于徐洪河和安东河下游，总面积5.22平方公里，核心区58.4公顷。2001年经江苏省人民政府批准列入洪泽湖湿地升级自然保护区。鸟类保护区季风显著，气候温和、光照充足。湿地常年水深0.6米，水体清澈透明。物种丰富多样，是候鸟、旅鸟适宜栖息的地区。区内有植物110余种、鸟类15目44科194种，占江苏省鸟类资源的一半以上。其中43种为留鸟、100种为候鸟(41种夏候鸟、59种冬候鸟)、51种为旅鸟。鸟类以鹭鸟为主，尤以牛背鹭、池鹭、苍鹭、中白鹭等居多。近来更发现了大鸨、白鹳、震旦鸦雀等珍稀鸟类。,,,5.0,,,,,1,宿迁
木色湖旅游度假景区Muse Lake Tourist Resort,http://travel.qunar.com/p-oi35817677-musehulu:youdujiajing,"

地址:
屯昌县西南部的枫木镇海榆中线112公里处

",湖水清澈，宽阔的湖面碧波荡漾，环湖青山起伏，建成旅游、度假、狩猎、山地探险等具有国际水平的旅游度假项目、设施，为游客们服务。,全年 全天开放,,4.3,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,1,屯昌
鲁日拉观景台,http://travel.qunar.com/p-oi38913317-lurilaguanjingtai,,,,,5.0,,,,,4,山南
